Episode,Titre,Date,Note IMDb,Description,Saison
Épisode 18,S2.E18 ∙ The One Where Dr. Ramoray Dies,"jeu., 21 mars 1996","8,3/10","Joey's soap opera character is killed off after he brags in an interview that he writes his own lines. Chandler is unnerved by Eddie's strange behavior, while Ross and Rachel compare their past lovers as do Richard and Monica.",Saison 2
Épisode 19,S2.E19 ∙ The One Where Eddie Won't Go,"jeu., 28 mars 1996","8,3/10","Chandler demands that Eddie move out; however, he doesn't seem to get the message. Meanwhile, a book on empowerment for women inspires the girls. In order to pay his bills, Ross convinces Joey to audition for a role he doesn't want.",Saison 2
Épisode 20,S2.E20 ∙ The One Where Old Yeller Dies,"jeu., 4 avr. 1996","8,0/10",Phoebe's world view is shattered when she learns how Old Yeller really ends. Monica becomes jealous when Richard starts hanging out with Chandler and Joey. Rachel panics when she learns that Ross has planned their whole life together.,Saison 2
Épisode 21,S2.E21 ∙ The One with the Bullies,"jeu., 25 avr. 1996","7,9/10",Chandler and Ross run into two bullies at Central Perk. Monica tries her luck at the stock market to avoid taking a job at a 1950s themed diner. Phoebe drives upstate for a second time to meet her father while Joey and Rachel accompany her.,Saison 2
Épisode 22,S2.E22 ∙ The One with the Two Parties,"jeu., 2 mai 1996","8,9/10","Chaos ensues when Rachel's recently divorced parents show up at her surprise birthday party, so the gang has to find ways to keep her parents separated otherwise they'll start fighting.",Saison 2
Épisode 23,S2.E23 ∙ The One with the Chicken Pox,"jeu., 9 mai 1996","7,9/10",Phoebe catches chicken pox just as an old flame arrives in town on leave from the Navy. Joey gets a job at Chandler's office. Monica is upset that Richard doesn't have any quirks.,Saison 2
Épisode 24,S2.E24 ∙ The One with Barry and Mindy's Wedding,"jeu., 16 mai 1996","8,1/10",Rachel reluctantly agrees to be maid of honor at her ex-fiancé Barry's wedding. Monica ponders her future with Richard. Joey has to practice kissing guys to get a role in Warren Beatty's new movie but Ross and Chandler are unwilling to help him.,Saison 2
Épisode 1,S3.E1 ∙ The One with the Princess Leia Fantasy,"lun., 17 nov. 1997","8,3/10",Monica suffers from insomnia and depression following her breakup with Richard. Joey struggles to accept Chandler and Janice's relationship. Ross confides in Rachel about one of his fantasies.,Saison 3
Épisode 2,S3.E2 ∙ The One Where No One's Ready,"jeu., 26 sept. 1996","8,9/10","A stressed Ross desperately and insistently tries to get the rest of the gang ready for a black tie event at the museum, while Joey and Chandler clash over personal belongings and personal space.",Saison 3
Épisode 3,S3.E3 ∙ The One with the Jam,"jeu., 3 oct. 1996","7,8/10",Monica tries to get over Richard by using her free time to make jam and considers artificial insemination through a sperm bank. Phoebe is stalked by a man who mistakes her for Ursula.,Saison 3
Épisode 4,S3.E4 ∙ The One with the Metaphorical Tunnel,"jeu., 10 oct. 1996","7,8/10",Chandler tries to get over his fear of commitment. Phoebe poses as Joey's agent after she forgets to tell him about an audition. Ross panics after seeing Ben play with a Barbie doll and tries to convince him to play with more manly toys.,Saison 3
Épisode 5,S3.E5 ∙ The One with Frank Jr.,"jeu., 17 oct. 1996","8,0/10",Phoebe has trouble bonding with her half-brother Frank when he comes to visit. Joey attempts to build an entertainment center. Ross is challenged to name the five celebrities he'd like to sleep with most.,Saison 3
Épisode 6,S3.E6 ∙ The One with the Flashback,"jeu., 31 oct. 1996","9,0/10","The gang remember the events three years ago, when several of them almost slept together.",Saison 3
Épisode 7,S3.E7 ∙ The One with the Race Car Bed,"jeu., 7 nov. 1996","8,1/10",Monica buys a bed from Janice's soon to be ex husband. Ross and Rachel have dinner with Rachel's father. Joey leads an acting class.,Saison 3
Épisode 8,S3.E8 ∙ The One with the Giant Poking Device,"jeu., 14 nov. 1996","8,2/10",Chandler is devastated after Joey tells him he saw Janice kissing her ex-husband. Monica accidentally bumps Ben's head into a post when she and Rachel babysit. Phoebe is paranoid if she goes to dentist someone she knows will die.,Saison 3
Épisode 9,S3.E9 ∙ The One with the Football,"jeu., 21 nov. 1996","8,9/10","Old sibling rivalry between Monica and Ross resurfaces and postpones Thanksgiving dinner when the gang decide to play a game of ""touch"" football.",Saison 3
Épisode 10,S3.E10 ∙ The One Where Rachel Quits,"jeu., 12 déc. 1996","8,0/10",Ross accidentally breaks a little girl's leg and tries to help her sell boxes of cookies which recreates Monica's childhood fixation. Rachel quits her job at Central Perk and Joey's Christmas tree selling conflicts with Phoebe's principles.,Saison 3
Épisode 11,S3.E11 ∙ The One Where Chandler Can't Remember Which Sister,"jeu., 9 janv. 1997","8,4/10",A drunken Chandler fools around with one of Joey's sisters - but he can't remember which one. Ross becomes skeptical when a guy at the diner gets Rachel an interview for a position at Bloomingdales.,Saison 3
Épisode 12,S3.E12 ∙ The One with All the Jealousy,"jeu., 16 janv. 1997","8,0/10","Ross becomes insanely jealous of Mark. Monica hooks up with a co-worker, who writes her a poem with a hidden meaning. One of Joey's numerous lies on his resume is exposed when he takes part in a Broadway production.",Saison 3
Épisode 13,S3.E13 ∙ The One Where Monica and Richard Are Just Friends,"jeu., 30 janv. 1997","8,1/10","Monica's willpower is tested when she bumps into Richard. Joey and Rachel exchange their favorite books. Phoebe dates an athletic guy who doesn't realize he has a ""wardrobe malfunction"".",Saison 3
Épisode 14,S3.E14 ∙ The One with Phoebe's Ex-Partner,"jeu., 6 févr. 1997","7,6/10",Phoebe is reunited with her former singing partner. Chandler dates a woman with a prosthetic leg. Ross goes to a fashion lecture with Rachel when he hears she is going with Mark.,Saison 3
Épisode 15,S3.E15 ∙ The One Where Ross and Rachel Take a Break,"ven., 5 déc. 1997","8,4/10",Ross seeks solace at a party after a bitter fight with Rachel and ends up in the arms of another woman; Phoebe's date needs an interpreter to communicate.,Saison 3
Épisode 16,S3.E16 ∙ The One with the Morning After,"lun., 8 déc. 1997","9,0/10","Ross is guilt-ridden after sleeping with Chloe and desperately tries to stop Rachel from finding out and when she does, the rest of the gang listen to them argue and end up trapped in Monica's room for the rest of the night.",Saison 3
Épisode 17,S3.E17 ∙ The One Without the Ski Trip,"mar., 9 déc. 1997","8,2/10","Monica, Chandler, Phoebe and Joey become stuck in the middle of Ross and Rachel's fight following their break-up.",Saison 3
Épisode 18,S3.E18 ∙ The One with the Hypnosis Tape,"mer., 10 déc. 1997","8,2/10",Monica goes out with a guy who turns out to be a software billionaire. Chandler's stop smoking hypnosis tape has an unexpected side effect. Phoebe's brother Frank makes a surprise announcement that he is getting married - to a woman twice his age.,Saison 3
Épisode 19,S3.E19 ∙ The One with the Tiny T-Shirt,"jeu., 11 déc. 1997","8,0/10","Rachel goes on her first date, after splitting from Ross, with Mark. Joey clashes with his co-star in his new play. Monica continues to date Pete, even though she is still not attracted to him.",Saison 3
Épisode 20,S3.E20 ∙ The One with the Dollhouse,"ven., 12 déc. 1997","7,9/10","Monica's aunt dies and leaves her an antique dollhouse that she doesn't want Phoebe to play with; Rachel regrets setting up Chandler with her boss, Joanna.",Saison 3
Épisode 21,S3.E21 ∙ The One with a Chick and a Duck,"jeu., 17 avr. 1997","8,6/10","Joey buys a chick for him and Chandler, Pete offers Monica a job at his restaurant but she is undecided if she should accept it. Ross shows his continued feelings for Rachel when he gives up being on TV for her.",Saison 3
Épisode 22,S3.E22 ∙ The One with the Screamer,"mar., 16 déc. 1997","8,1/10","Ross witnesses Rachel's date screaming at people. Meanwhile, Joey becomes upset when Kate is offered a job in Los Angeles; Phoebe refuses to hang up the phone when she is placed on hold by her phone company.",Saison 3
Épisode 23,S3.E23 ∙ The One with Ross's Thing,"jeu., 1 mai 1997","7,8/10",Ross seeks medical help when he finds a mysterious skin condition on his backside. Phoebe struggles to choose between two guys; Monica can't decide what to do about Pete when she thinks he is going to propose.,Saison 3
Épisode 24,S3.E24 ∙ The One with the Ultimate Fighting Champion,"jeu., 8 mai 1997","8,0/10",Monica struggles to support Pete in his goal to become the Ultimate Fighting Champion. Chandler is uneasy when his boss playfully slaps his butt. Rachel becomes jealous when Ross starts dating a woman that was introduced to him by Phoebe.,Saison 3
